City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
272,qarazhal,48.0078,70.7903,306.29,18,42,7.09,KZ,1690115037
273,vilyuysk,63.7553,121.6247,296.86,59,4,1.98,RU,1690115037
274,pemangkat,1.1667,108.9667,300.63,83,66,4.96,ID,1690115037
275,cooper's town,26.8667,-77.5167,302.8,76,74,5.72,BS,1690115037
276,voss,60.623,6.4229,294.0,49,56,1.08,NO,1690115037
277,midvagur,62.0511,-7.1939,283.61,76,100,6.17,FO,1690115037
278,serdar,38.9764,56.2757,314.97,9,0,7.17,TM,1690115037
279,guaratuba,-25.8828,-48.5747,290.12,83,39,0.69,BR,1690115037
280,ulladulla,-35.35,150.4667,284.09,82,19,3.49,AU,1690115037
281,fort bragg,35.139,-79.006,298.26,91,75,0.0,US,1690115030
282,isafjordur,66.0755,-23.124,284.17,93,100,0.0,IS,1690115038
283,navoiy,40.0844,65.3792,311.86,13,0,8.23,UZ,1690115038
284,atafu village,-8.5421,-172.5159,301.41,78,11,5.15,TK,1690115038
285,backi petrovac,45.3606,19.5917,299.78,46,2,0.77,RS,1690115038
286,gornopravdinsk,60.05,69.9,293.94,75,87,2.87,RU,1690115038
287,macas,-2.3167,-78.1167,291.61,86,91,1.03,EC,1690115038
288,karagay,58.2667,54.9368,294.18,53,85,3.78,RU,1690115038
289,chasiv yar,48.5935,37.8572,300.88,47,89,5.48,UA,1690115038
290,ghadamis,30.1337,9.5007,315.37,7,0,7.29,LY,1690115038
291,santa ana,33.7456,-117.8678,294.44,89,100,3.6,US,1690115004
292,vostochnyy,55.8167,37.8667,292.76,80,100,3.47,RU,1690115039
293,shahpur,16.7,76.8333,297.4,85,100,9.25,IN,1690115039
294,burnie,-41.0667,145.9167,278.4,84,20,2.62,AU,1690115039
295,vilyuchinsk,52.9306,158.4028,291.3,90,86,4.82,RU,1690115039
296,szigetvar,46.0486,17.8055,299.68,51,0,3.0,HU,1690115039
297,saint-louis,16.3333,-15.0,304.95,52,81,4.37,SN,1690115039
298,arezzo,43.4724,11.869,309.9,18,3,6.19,IT,1690115039
299,kolonia town,6.964,158.206,298.15,94,100,7.09,FM,1690115040
300,speightstown,13.25,-59.65,302.49,75,100,6.93,BB,1690115040
301,khorixas,-20.3667,14.9667,304.31,16,0,6.14,NA,1690115040
